@relation 'matches-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Remove-R2-30-weka.filters.unsupervised.attribute.Remove-R19,37-weka.filters.unsupervised.attribute.Remove-R8,10,12-13,17,25,27,29-30,34-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8,20-weka.filters.unsupervised.attribute.Remove-R9-10,20-21'

@attribute home_shotsOnGoal numeric
@attribute home_shotsOffGoal numeric
@attribute home_totalShots numeric
@attribute home_blockedShots numeric
@attribute home_shotsInsideBox numeric
@attribute home_shotsOutsideBox numeric
@attribute home_cornerKicks numeric
@attribute home_goalkeeperSaves numeric
@attribute home_expectedGoals numeric
@attribute away_shotsOnGoal numeric
@attribute away_shotsOffGoal numeric
@attribute away_totalShots numeric
@attribute away_blockedShots numeric
@attribute away_shotsInsideBox numeric
@attribute away_shotsOutsideBox numeric
@attribute away_cornerKicks numeric
@attribute away_goalkeeperSaves numeric
@attribute away_expectedGoals numeric
@attribute resultado {'Away Win','Home Win',Draw}

@data
5,11,19,3,12,7,8,2,1.39,4,2,10,4,6,4,3,5,2.07,'Away Win'
1,3,7,3,5,2,7,6,0.45,8,3,14,3,10,4,5,1,0.99,'Away Win'
6,6,14,2,11,3,3,3,2.42,4,0,7,3,5,2,3,3,0.94,'Home Win'
1,7,11,3,8,3,7,3,0.96,5,5,11,1,8,3,2,0,0.95,'Away Win'
3,5,9,1,5,4,8,1,0.72,3,6,10,1,7,3,1,2,1.12,'Away Win'
2,1,5,2,2,3,3,1,0.92,2,8,12,2,8,4,6,1,1.61,Draw
2,3,5,0,3,2,3,3,0.57,4,7,14,3,6,8,4,2,1.49,Draw
5,6,18,7,12,6,9,3,0.91,5,2,12,5,6,6,4,4,1.05,'Away Win'
2,11,15,2,7,8,4,0,0.99,1,2,6,3,5,1,1,1,1.15,Draw
3,6,12,3,7,5,2,2,0.66,2,5,10,3,4,6,4,2,0.25,'Home Win'
8,8,20,4,13,7,4,6,1.33,9,11,25,5,18,7,5,7,1.98,'Away Win'
10,6,24,8,19,5,10,1,3.48,1,7,10,2,10,0,2,8,1.15,'Home Win'
1,4,8,3,7,1,6,3,0.38,3,7,15,5,11,4,5,1,1.95,'Away Win'
7,5,14,2,10,4,5,7,1.19,9,6,17,2,11,6,6,7,2.14,'Away Win'
7,7,14,0,10,4,4,0,1.85,2,4,12,6,3,9,4,3,0.64,'Home Win'
7,5,18,6,11,7,5,0,1.28,2,4,8,2,5,3,3,7,1.56,'Away Win'
0,8,14,6,10,4,2,1,0.74,1,2,5,2,4,1,7,0,0.4,Draw
2,5,11,4,7,4,9,6,0.71,6,6,17,5,10,7,7,1,1.13,Draw
6,0,7,1,5,2,3,2,1.42,2,6,9,1,5,4,2,3,0.7,'Home Win'
4,2,9,3,8,1,6,1,1.54,1,4,7,2,2,5,4,3,0.52,'Home Win'
6,5,14,3,10,4,5,3,2.87,4,3,9,2,6,3,3,2,0.44,'Home Win'
4,6,13,3,10,3,3,2,1.24,3,5,10,2,6,4,5,4,1.36,'Away Win'
4,3,10,3,6,4,5,3,1.43,5,4,10,1,10,0,3,1,2.62,'Home Win'
5,3,11,3,6,5,5,1,0.91,1,4,8,3,7,1,7,5,1,Draw
3,4,11,4,7,4,7,1,1.58,2,2,5,1,3,2,3,2,0.26,Draw
3,7,12,2,7,5,8,3,0.56,10,4,17,3,14,3,3,3,3.45,'Away Win'
6,3,13,4,10,3,2,7,1.86,11,4,21,6,15,6,6,3,3.07,'Away Win'
4,13,21,4,13,8,6,1,1.47,3,5,8,0,6,2,6,4,1.38,'Away Win'
4,10,16,2,10,6,6,0,1.69,2,3,7,2,6,1,3,3,1.23,'Away Win'
4,9,15,2,14,1,4,1,2.26,2,9,16,5,9,7,5,3,0.69,'Home Win'
5,8,16,3,11,5,6,4,2.98,8,4,14,2,12,2,5,3,1.54,'Away Win'
4,3,12,5,9,3,6,2,0.95,2,3,8,3,4,4,5,3,0.29,'Home Win'
5,7,14,2,10,4,2,6,1.07,6,4,15,5,9,6,3,5,1.43,'Home Win'
4,6,18,8,9,9,7,2,2.09,3,2,7,2,4,3,3,1,0.32,'Home Win'
6,4,11,1,7,4,3,5,1.03,5,1,10,4,6,4,5,5,1.06,'Home Win'
1,4,7,2,7,0,1,4,1.3,4,3,9,2,5,4,2,1,0.76,'Home Win'
2,2,8,4,5,3,3,3,0.38,3,4,11,4,8,3,5,1,0.62,Draw
3,2,11,6,7,4,8,2,0.77,4,3,9,2,7,2,5,2,2,'Away Win'
12,9,26,5,17,9,11,1,2.79,2,2,6,2,3,3,1,10,0.39,'Home Win'
6,7,15,2,7,8,2,3,2.32,5,1,8,2,5,3,5,2,0.75,'Home Win'
9,9,20,2,15,5,5,4,2.87,4,0,5,1,2,3,4,5,0.29,'Home Win'
9,6,17,2,10,7,9,2,2.42,2,8,11,1,6,5,5,4,0.85,'Home Win'
4,9,16,3,12,4,10,2,1.35,4,3,7,0,5,2,1,4,0.78,'Away Win'
6,2,11,3,10,1,6,1,0.5,3,5,8,0,4,4,3,3,1.13,'Home Win'
8,5,17,4,11,6,4,4,2.05,5,6,15,4,8,7,3,6,1.66,'Home Win'
4,2,10,4,9,1,6,6,0.9,7,8,17,2,10,7,6,2,1.51,'Home Win'
8,1,12,3,8,4,5,3,1.84,3,4,11,4,7,4,8,5,0.75,'Home Win'
5,5,12,2,8,4,4,3,1.62,7,2,13,4,7,6,5,3,2.77,'Away Win'
9,10,26,7,16,10,7,2,1.75,2,8,14,4,5,9,3,8,1.06,'Home Win'
11,6,20,3,13,7,5,1,2.58,1,5,9,3,7,2,3,9,0.67,'Home Win'
10,5,17,2,13,4,7,3,2.67,5,1,7,1,5,2,3,8,0.76,Draw
4,3,10,3,7,3,6,4,1.29,5,8,20,7,9,11,11,1,1.01,'Home Win'
6,6,15,3,7,8,2,5,1.59,7,4,13,2,12,1,3,3,1.54,'Home Win'
7,11,21,3,15,6,11,0,1.86,1,3,5,1,4,1,8,6,0.22,Draw
10,10,23,3,16,7,6,2,3.22,5,5,15,5,10,5,5,4,1.79,'Home Win'
2,7,16,7,13,3,7,3,1.42,3,10,15,2,8,7,4,2,0.77,Draw
6,3,11,2,7,4,2,5,1.21,6,6,13,1,9,4,8,5,1.64,Draw
5,6,15,4,11,4,3,1,1.15,3,6,11,2,8,3,4,5,1.73,'Away Win'
6,2,10,2,6,4,2,4,1.95,7,3,10,0,7,3,1,2,1.47,'Home Win'
3,6,10,1,5,5,6,1,0.6,1,1,2,0,0,2,7,2,0.04,'Home Win'
4,1,8,3,6,2,5,3,0.74,5,4,13,4,9,4,4,2,1.36,Draw
2,6,9,1,5,4,1,4,0.59,4,5,9,0,0,9,2,2,0.26,Draw
9,4,18,5,15,3,9,0,2.22,1,7,10,2,10,0,4,4,1.78,'Home Win'
2,8,13,3,8,5,7,1,0.94,3,2,5,0,4,1,2,2,1.44,'Away Win'
5,2,10,3,7,3,7,2,0.79,4,5,10,1,6,4,2,3,1.89,Draw
7,7,18,4,12,6,5,2,1.78,3,6,13,4,8,5,7,6,0.88,Draw
3,6,14,5,11,3,5,3,1.91,5,9,17,3,13,4,6,2,2.15,'Away Win'
2,4,9,3,3,6,0,0,0.37,1,1,2,0,1,1,2,2,0.18,'Away Win'
9,3,21,9,17,4,7,2,1.76,2,8,16,6,7,9,2,7,0.72,'Home Win'
0,4,8,4,3,5,2,8,0.56,11,7,21,3,16,5,8,0,2.7,Draw
5,9,17,3,12,5,1,1,2.92,4,10,19,5,17,2,5,2,2.89,Draw
9,7,18,2,14,4,5,2,2.76,4,3,8,1,4,4,3,6,0.84,'Home Win'
4,5,18,9,16,2,13,3,2.43,3,8,12,1,9,3,3,4,1.11,'Home Win'
7,4,15,4,12,3,5,2,1.62,2,7,9,0,5,4,3,4,0.66,'Home Win'
9,11,22,2,12,10,6,0,0.83,0,2,3,1,2,1,4,9,0.14,Draw
3,8,13,2,7,6,1,4,1.59,7,3,14,4,10,4,4,3,2.38,'Away Win'
3,6,17,8,9,8,4,1,1.5,3,5,10,2,5,5,2,3,1.12,'Away Win'
5,1,8,2,5,3,5,3,1.45,3,10,18,5,14,4,7,2,1.82,'Home Win'
5,4,16,7,8,8,4,2,1.7,3,5,11,3,8,3,5,4,1.54,'Home Win'
5,9,19,5,9,10,5,2,2.3,4,3,9,2,8,1,0,3,1.47,Draw
5,6,14,3,12,2,1,3,2.33,4,6,13,3,3,10,4,3,1.24,'Home Win'
2,5,8,1,6,2,5,4,0.43,5,8,20,7,5,15,5,2,1.21,'Away Win'
11,7,26,8,14,12,13,0,2.89,2,1,3,0,3,0,1,9,0.74,Draw
5,2,9,2,7,2,3,2,0.58,3,3,11,5,4,7,6,4,0.55,Draw
5,8,15,2,7,8,5,1,1.38,2,3,6,1,4,2,3,5,0.93,Draw
9,13,23,1,21,2,6,1,1.92,1,1,4,2,0,4,2,6,0.1,'Home Win'
2,4,7,1,4,3,1,8,0.73,10,8,22,4,13,9,11,0,3.32,Draw
9,7,19,3,15,4,5,1,3.46,1,3,7,3,2,5,4,5,0.46,'Home Win'
6,11,22,5,12,10,12,2,1.03,4,2,7,1,3,4,2,5,1.05,Draw
4,4,9,1,7,2,7,3,0.99,5,3,8,0,6,2,2,3,1.12,'Away Win'
6,4,12,2,8,4,10,3,1.33,4,7,12,1,7,5,5,6,1.35,'Away Win'
8,6,19,5,13,6,9,3,1.88,5,3,9,1,4,5,6,3,0.99,'Home Win'
7,4,12,1,10,2,4,3,1.45,3,5,10,2,7,3,7,6,0.5,'Home Win'
3,9,16,4,10,6,7,4,0.76,7,1,12,4,10,2,5,3,1.84,'Away Win'
3,4,13,6,10,3,4,2,1.49,3,6,13,4,11,2,8,2,1.16,Draw
4,5,12,3,7,5,4,4,1.44,4,1,5,0,5,0,5,2,0.54,'Home Win'
6,6,14,2,7,7,2,6,1.35,7,7,18,4,14,4,5,5,1.95,'Home Win'
7,8,17,2,9,8,4,3,1.35,5,5,14,4,8,6,6,6,2.13,Draw
6,3,12,3,8,4,1,3,2.14,3,5,13,5,11,2,7,4,0.65,'Home Win'
3,4,12,5,9,3,9,6,1.53,7,5,16,4,8,8,3,2,1.66,Draw
4,3,10,3,4,6,3,1,0.24,3,5,10,2,6,4,2,3,0.74,'Away Win'
7,4,12,1,8,4,10,2,1.86,5,3,11,3,7,4,4,5,1.86,Draw
3,7,15,5,9,6,6,2,1.55,4,4,13,5,5,8,3,2,1.07,'Away Win'
2,7,9,0,5,4,6,?,1.23,1,5,7,1,4,3,3,?,0.4,'Home Win'
5,3,10,2,6,4,2,8,1.09,10,7,20,3,14,6,4,3,1.38,Draw
7,5,16,4,7,9,4,1,0.95,3,8,15,4,9,6,5,5,1.91,Draw
8,9,18,1,16,2,4,2,2.27,5,0,6,1,6,0,1,6,1.39,'Away Win'
2,7,12,3,7,5,10,2,0.58,2,0,4,2,3,1,1,1,0.18,'Home Win'
4,7,15,4,11,4,7,0,0.9,0,3,8,5,2,6,3,4,0.23,Draw
7,3,11,1,10,1,4,0,1.35,1,4,8,3,4,4,4,5,0.47,'Home Win'
3,13,22,6,13,9,6,1,2.26,1,6,8,1,3,5,1,1,0.62,'Home Win'
3,8,15,4,12,3,4,4,2.1,5,5,13,3,11,2,6,2,0.89,Draw
3,14,23,6,16,7,12,3,2.44,3,5,9,1,3,6,6,2,0.63,'Home Win'
6,7,17,4,12,5,9,4,2.14,7,6,17,4,9,8,3,4,2.21,'Away Win'
3,3,9,3,5,4,3,4,0.41,5,3,13,5,10,3,4,1,1.24,'Home Win'
6,5,13,2,9,4,8,3,0.95,4,4,12,4,5,7,3,6,1.23,'Away Win'
3,4,13,6,7,6,6,2,1.19,2,4,6,0,4,2,3,2,0.54,'Home Win'
3,7,15,5,10,5,2,0,1.42,4,6,11,1,7,4,7,2,2.23,'Away Win'
5,12,22,5,14,8,11,0,2.21,0,1,4,3,2,2,1,5,0.1,Draw
2,6,11,3,4,7,0,1,1.43,1,2,6,3,4,2,4,1,0.32,'Home Win'
2,4,7,1,4,3,5,3,0.44,6,8,18,4,11,7,5,1,2.41,'Away Win'
12,4,21,5,18,3,7,2,4.6,5,6,13,2,8,5,2,8,2.24,'Home Win'
10,10,25,5,19,6,6,6,3.79,7,3,11,1,9,2,3,7,0.87,'Home Win'
7,6,16,3,8,8,4,3,1.75,4,3,10,3,6,4,4,2,1.71,'Home Win'
4,7,13,2,5,8,9,5,0.68,6,5,14,3,13,1,5,3,1.79,Draw
3,7,16,6,7,9,7,2,1.07,3,3,6,0,2,4,0,2,0.31,Draw
6,4,12,2,8,4,3,5,1.69,6,3,10,1,8,2,5,5,2.27,Draw
9,10,22,3,15,7,8,4,1.75,7,7,19,5,17,2,3,8,4.59,'Away Win'
3,5,11,3,10,1,8,0,0.97,1,3,6,2,3,3,3,2,0.45,Draw
6,5,11,0,7,4,2,0,1.56,1,6,8,1,7,1,1,4,1.69,'Home Win'
3,11,20,6,14,6,7,1,1.75,1,5,8,2,5,3,3,2,0.99,'Home Win'
6,4,12,2,9,3,7,4,1.44,4,9,15,2,5,10,6,6,0.63,'Home Win'
4,5,13,4,5,8,4,3,1.21,5,3,14,6,8,6,4,4,1.59,'Away Win'
8,3,11,0,5,6,4,1,0.7,2,4,8,2,6,2,4,7,0.59,'Home Win'
5,1,8,2,4,4,6,3,0.83,4,2,11,5,7,4,2,3,1.14,'Home Win'
5,8,18,5,11,7,3,4,1.17,4,5,13,4,10,3,6,3,1.87,'Home Win'
2,9,13,2,10,3,2,5,1.27,6,2,13,5,11,2,6,1,1.42,Draw
4,3,10,3,2,8,1,4,0.74,4,6,15,5,11,4,4,3,1.04,Draw
