@relation 'matches-weka.filters.unsupervised.attribute.Remove-R1-38-weka.filters.unsupervised.attribute.Remove-R18,36-weka.filters.unsupervised.attribute.Remove-R16,33-weka.filters.unsupervised.attribute.Remove-R11-12,27-28-weka.filters.unsupervised.attribute.Remove-R7,21-weka.filters.unsupervised.attribute.Remove-R9,22'

@attribute home_shotsOnGoal numeric
@attribute home_shotsOffGoal numeric
@attribute home_totalShots numeric
@attribute home_blockedShots numeric
@attribute home_shotsInsideBox numeric
@attribute home_shotsOutsideBox numeric
@attribute home_cornerKicks numeric
@attribute home_offsides numeric
@attribute home_goalkeeperSaves numeric
@attribute home_totalPasses numeric
@attribute home_accuratePasses numeric
@attribute home_expectedGoals numeric
@attribute away_shotsOnGoal numeric
@attribute away_shotsOffGoal numeric
@attribute away_totalShots numeric
@attribute away_blockedShots numeric
@attribute away_shotsInsideBox numeric
@attribute away_shotsOutsideBox numeric
@attribute away_cornerKicks numeric
@attribute away_offsides numeric
@attribute away_goalkeeperSaves numeric
@attribute away_totalPasses numeric
@attribute away_accuratePasses numeric
@attribute away_expectedGoals numeric
@attribute resultado {'Away Win','Home Win',Draw}

@data
5,11,19,3,12,7,8,1,2,480,422,1.39,4,2,10,4,6,4,3,1,5,329,255,2.07,'Away Win'
1,3,7,3,5,2,7,2,6,489,419,0.45,8,3,14,3,10,4,5,2,1,603,528,0.99,'Away Win'
6,6,14,2,11,3,3,3,3,428,351,2.42,4,0,7,3,5,2,3,0,3,527,435,0.94,'Home Win'
1,7,11,3,8,3,7,6,3,469,385,0.96,5,5,11,1,8,3,2,1,0,433,324,0.95,'Away Win'
3,5,9,1,5,4,8,3,1,397,297,0.72,3,6,10,1,7,3,1,0,2,343,244,1.12,'Away Win'
2,1,5,2,2,3,3,1,1,605,522,0.92,2,8,12,2,8,4,6,6,1,255,178,1.61,Draw
2,3,5,0,3,2,3,4,3,233,167,0.57,4,7,14,3,6,8,4,2,2,729,659,1.49,Draw
5,6,18,7,12,6,9,2,3,560,481,0.91,5,2,12,5,6,6,4,1,4,317,251,1.05,'Away Win'
2,11,15,2,7,8,4,0,0,376,306,0.99,1,2,6,3,5,1,1,3,1,416,342,1.15,Draw
3,6,12,3,7,5,2,2,2,298,206,0.66,2,5,10,3,4,6,4,2,2,365,274,0.25,'Home Win'
8,8,20,4,13,7,4,1,6,428,367,1.33,9,11,25,5,18,7,5,4,7,567,518,1.98,'Away Win'
10,6,24,8,19,5,10,1,1,612,559,3.48,1,7,10,2,10,0,2,1,8,196,133,1.15,'Home Win'
1,4,8,3,7,1,6,6,3,323,272,0.38,3,7,15,5,11,4,5,1,1,517,463,1.95,'Away Win'
7,5,14,2,10,4,5,1,7,360,278,1.19,9,6,17,2,11,6,6,7,7,384,296,2.14,'Away Win'
7,7,14,0,10,4,4,0,0,268,166,1.85,2,4,12,6,3,9,4,1,3,552,464,0.64,'Home Win'
7,5,18,6,11,7,5,2,0,535,436,1.28,2,4,8,2,5,3,3,0,7,331,232,1.56,'Away Win'
0,8,14,6,10,4,2,3,1,551,485,0.74,1,2,5,2,4,1,7,2,0,494,423,0.4,Draw
